ID;URI;English Name;German Name;Wikidata ID;GND ID;AAT ID
1;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/equipment-types#equipment-type-1;3D Printer;3D-Drucker;Q3834994;1051019354;300391466
2;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/equipment-types#equipment-type-2;3D Scanner;3D-Scanner;Q1775257;7704418-6;
3;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/equipment-types#equipment-type-3;Phonograph Needle;Abtastnadel;Q10923110;;300374973
4;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/equipment-types#equipment-type-4;Video Projector;Beamer;Q275568;4726555-3;
5;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/equipment-types#equipment-type-5;Printer;Drucker;Q82;4013091-5;300024535
6;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/equipment-types#equipment-type-6;Flatbed Scanner;Flachbildscanner;Q82744;;
7;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/equipment-types#equipment-type-7;Photographic Camera;Fotokamera;Q15328;4045869-6;300022636
8;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/equipment-types#equipment-type-8;Milling Machine;Fräse;Q623106;;300024721
9;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/equipment-types#equipment-type-9;Loudspeaker;Lautsprecher;Q570;;300250653
10;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/equipment-types#equipment-type-10;Microphone;Mikrofon;Q46384;4139330-2;300266322
11;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/equipment-types#equipment-type-11;Mixer;Mischpult;Q654117;4039545-5;300420468
12;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/equipment-types#equipment-type-12;Musical Instrument;Musikinstrument;Q34379;4040851-6;300041620
13;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/equipment-types#equipment-type-13;Plug-In;Plug-In;Q184148;4753748-6;
14;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/equipment-types#equipment-type-14;Sample Library;Samplebibliothek;Q7410139;;
15;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/equipment-types#equipment-type-15;Server;Server;Q44127;4209324-7;300266043
16;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/equipment-types#equipment-type-16;Software;Software;Q7397;4055382-6;300028566
17;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/equipment-types#equipment-type-17;Pickup;Tonabnehmer;Q572648;4185653-3;300421687
