ID;URI;English Name;English Synonyms;German Name;German Synonyms;Wikidata ID;GND ID;AAT ID;LIDO Terminology ID
1;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/event-types#event-type-1;Purchase;;Ankauf;Erwerb;Q1369832;4128692-3;;
2;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/event-types#event-type-2;Inaugural Lecture;;Antrittsvorlesung;;Q609261;4426602-9;;
3;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/event-types#event-type-3;Arrangement;Musical Arrangement;Arrangement;;Q379755;4285138-5;;
4;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/event-types#event-type-4;Performance (Performing Arts);;Aufführung (Darstellende Künste);;Q35140;4143388-9;;lido00030
5;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/event-types#event-type-5;Musical Performance;;Aufführung (Musik);Musikaufführung;Q106805967;7502757-4;;lido00030
6;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/event-types#event-type-6;Exhibition;;Ausstellung;Kunstausstellung,Gruppenausstellung,Einzelausstellung;Q464980;4129601-1;300054766;lido00225
7;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/event-types#event-type-7;Exhibition Opening;Vernissage,Private View,Opening Reception,Gallery Opening,Gallery Reception;Ausstellungseröffnung;Vernissage;Q772257;4435671-7;;
8;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/event-types#event-type-8;Award;Prize;Auszeichnung;Ehrung,Preis;Q618779;4338046-3;;
9;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/event-types#event-type-9;Commissioning;Order;Beauftragung;Auftrag,Order;Q566889;4003557-8;;lido00226
10;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/event-types#event-type-10;Modification;Revision,Edit,Editing,Processing;Bearbeitung;Revision,Umarbeitung,Adaption;Q109243379;4120981-3;;lido00006
11;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/event-types#event-type-11;Data Conversion;;Datenkonvertierung;Konvertierung;Q1783551;4138254-7;;
12;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/event-types#event-type-12;Digitisation;Retrodigitisation;Digitalisierung;Retrodigitalisierung;Q843958;4123065-6;300202383;
13;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/event-types#event-type-13;Design;Designing;Entwurf;Entwerfen,Gestaltung;Q1519454;4121208-3;300102051;lido00224
14;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/event-types#event-type-14;TV Première;First TV Broadcast;Erstausstrahlung;Erstsendung;Q118581977;;;
15;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/event-types#event-type-15;Acquisition;Transfer of Legal Ownership,Transfer of Title ;Erwerb;Akquise,Erwerbung,Zugang (Erwerb);Q3604747;4212536-4;300157782;lido00001
16;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/event-types#event-type-16;Festival;;Festival;;Q132241;4154198-4;;
17;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/event-types#event-type-17;Film Festival;;Filmfestival;Filmfestspiel;Q220505;4359942-4;;
18;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/event-types#event-type-18;Film Screening;Screening;Filmvorführung;Vorführung;Q2295790;4196355-6;;
19;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/event-types#event-type-19;Electroplating;;Galvanisierung;Galvanotechnik,Galvanische Beschichtung;Q3503392;4129892-5;300054000;
20;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/event-types#event-type-20;Guest Performance;;Gast-Performance;Gastspiel;Q40249767;4255674-0;;
21;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/event-types#event-type-21;Creation;Conception;Geistige Schöpfung;Begriffliche Schöpfung,Intellektuelle Schöpfung,Konzeptuelle Schöpfung,Künstlerische Schöpfung;Q11398090;;;lido00012
22;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/event-types#event-type-22;Production;Manufacturing;Herstellung;Produktion,Fabrikation,Fertigung;Q739302;4159653-5;300054713;lido00007
23;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/event-types#event-type-23;Interview;;Interview;Studiogespräch;Q178651;4027503-6;300026392;
24;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/event-types#event-type-24;Colloquium;;Kolloquium;;Q4228029;;;
25;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/event-types#event-type-25;Concert;;Konzert;Konzertabend;Q182832;4317474-7;;
26;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/event-types#event-type-26;Concert Series;Series of Concerts;Konzertreihe;;Q107736918;4432417-0;;
27;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/event-types#event-type-27;Master Class;;Meisterklasse;;Q2537465;1033761672;;
28;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/event-types#event-type-28;Musical Composition;;Musikalische Komposition;Komposition,Komponieren;Q11895763;4133320-2;;
29;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/event-types#event-type-29;Music Festival;;Musikfestival;;Q868557;4170821-0;;
30;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/event-types#event-type-30;Performance;;Performance;Aktion;Q213156;4173750-7;300121445;lido00030
31;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/event-types#event-type-31;Planning;;Planung;;Q309100;4046235-3 ;300054425;lido00032
32;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/event-types#event-type-32;Panel Discussion;;Podiumsdiskussion;Podiumsgespräch;Q2100278;4614247-2;;
33;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/event-types#event-type-33;Award Ceremony;;Preisverleihung;;Q4504495;;;
34;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/event-types#event-type-34;Première;;Premiere;Erstaufführung;Q204854;4519367-8;300069101;
35;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/event-types#event-type-35;Rehearsal;;Probe;;Q1751775;7660069-5;;
36;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/event-types#event-type-36;Speech;Oration,Address;Rede;Oration,Ansprache;Q861911;4048882-2;300417595;
