ID;URI;English Name;English Synonyms;German Name;German Synonyms;Parent Information Storage Medium Type;German Breadcrumb;English Breadcrumb;Wikidata ID;GND ID;AAT ID;PBCore Link
1;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/information-storage-medium-types#information-storage-medium-type-1;Videocassette;;Videokassette;;;Videokassette;Videocassette;Q121141504;4188225-8;300028692;http://pbcore.org/pbcore-controlled-vocabularies/instantiationphysical-video-vocabulary/#Videocassette
2;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/information-storage-medium-types#information-storage-medium-type-2;Betacam;;Betacam;;1;Videokassette > Betacam;Videocasette > Betacam;Q830910;;300264686;http://pbcore.org/pbcore-controlled-vocabularies/instantiationphysical-video-vocabulary/#Betacam
3;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/information-storage-medium-types#information-storage-medium-type-3;Betacam SP;;Betacam SP;;2;Videokassette > Betacam > Betacam SP;Videocasette > Betacam > Betacam SP;Q830904;;300264687;
4;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/information-storage-medium-types#information-storage-medium-type-4;Betacam SX;;Betacam SX;;2;Videokassette > Betacam > Betacam SX;Videocasette > Betacam > Betacam SX;Q361797;;;http://pbcore.org/pbcore-controlled-vocabularies/instantiationphysical-video-vocabulary/#BetacamSX
5;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/information-storage-medium-types#information-storage-medium-type-5;Betamax;;Betamax;;1;Videokassette > Betamax;Videocasette > Betamax;Q690148;;300404417;http://pbcore.org/pbcore-controlled-vocabularies/instantiationphysical-video-vocabulary/#Betamax
6;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/information-storage-medium-types#information-storage-medium-type-6;Catrivision;;Catrivision;;1;Videokassette > Catrivision;Videocasette > Catrivision;Q5047444;;;http://pbcore.org/pbcore-controlled-vocabularies/instantiationphysical-video-vocabulary/#Catrivision
7;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/information-storage-medium-types#information-storage-medium-type-7;D1;;D1;;1;Videokassette > D1;Videocasette > D1;Q1151486;;;http://pbcore.org/pbcore-controlled-vocabularies/instantiationphysical-video-vocabulary/#D1
8;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/information-storage-medium-types#information-storage-medium-type-8;D2;;D2;;1;Videokassette > D2;Videocasette > D2;Q1158883;;;http://pbcore.org/pbcore-controlled-vocabularies/instantiationphysical-video-vocabulary/#D2
9;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/information-storage-medium-types#information-storage-medium-type-9;D3;;D3;;1;Videokassette > D3;Videocasette > D3;Q736474;;;http://pbcore.org/pbcore-controlled-vocabularies/instantiationphysical-video-vocabulary/#D3
10;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/information-storage-medium-types#information-storage-medium-type-10;D5;;D5;;1;Videokassette > D5;Videocasette > D5;Q2738019;;;http://pbcore.org/pbcore-controlled-vocabularies/instantiationphysical-video-vocabulary/#D5
