ID;URI;English Name;German Name;Parent Organisational Unit;German Breadcrumb;English Breadcrumb;German Description;English Description
1;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/organisational-units#organisational-unit-1;Folkwang University of the Arts;Folkwang Universität der Künste;;Folkwang Universität der Künste;Folkwang University of the Arts;;
2;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/organisational-units#organisational-unit-2;German-French Musicology Study Programme (B.A./Licence des Artes et Sciences humaines);Deutsch-französischer Studiengang Musikwissenschaft (B.A./Licence des Artes et Sciences humaines);1;Folkwang Universität der Künste > Deutsch-französischer Studiengang Musikwissenschaft (B.A./Licence des Artes et Sciences humaines);Folkwang University of the Arts > German-French Musicology Study Programme (B.A./Licence des Artes et Sciences humaines);;
3;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/organisational-units#organisational-unit-3;Concert Study Course of Excellence;Exzellenzstudiengang Konzertexamen (Zertifikat);1;Folkwang Universität der Künste > Exzellenzstudiengang Konzertexamen (Zertifikat);Folkwang University of the Arts > Concert Study Course of Excellence;;
4;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/organisational-units#organisational-unit-4;Diploma Programme Physical Theatre (Artist Diploma);Diplomstudiengang Physical Theatre (Artist Diploma);1;Folkwang Universität der Künste > Diplomstudiengang Physical Theatre (Artist Diploma);Folkwang University of the Arts > Diploma Programme Physical Theatre (Artist Diploma);;
5;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/organisational-units#organisational-unit-5;Diploma Programme Directing (Artist Diploma);Diplomstudiengang Regie (Artist Diploma);1;Folkwang Universität der Künste > Diplomstudiengang Regie (Artist Diploma);Folkwang University of the Arts > Diploma Programme Directing (Artist Diploma);;
6;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/organisational-units#organisational-unit-6;Diploma Programme Acting (Artist Diploma);Diplomstudiengang Schauspiel (Artist Diploma);1;Folkwang Universität der Künste > Diplomstudiengang Schauspiel (Artist Diploma);Folkwang University of the Arts > Diploma Programme Acting (Artist Diploma);;
7;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/organisational-units#organisational-unit-7;Institute for Computer Music and Electronic Media;Institut für Computermusik und Elektronische Medien;1;Folkwang Universität der Künste > Institut für Computermusik und Elektronische Medien;Folkwang University of the Arts > Institute for Computer Music and Electronic Media;;
8;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/organisational-units#organisational-unit-8;Institute for Gregorian Chant;Institut für Gregorianik;1;Folkwang Universität der Künste > Institut für Gregorianik;Folkwang University of the Arts > Institute for Gregorian Chant;;
9;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/organisational-units#organisational-unit-9;Institute for Art and Design Science;Institut für Kunst- und Designwissenschaft;1;Folkwang Universität der Künste > Institut für Kunst- und Designwissenschaft;Folkwang University of the Arts > Institute for Art and Design Science;;
10;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/organisational-units#organisational-unit-10;Institute for the Promotion of Young Artists | folkwang junior ;Institut für künstlerische Nachwuchsförderung | folkwang junior;1;Folkwang Universität der Künste > Institut für künstlerische Nachwuchsförderung | folkwang junior;Folkwang University of the Arts > Institute for the Promotion of Young Artists | folkwang junior ;;
