ID;URI;English Name;English Synonyms;German Name;German Synonyms;Parent Project Category;German Breadcrumb;English Breadcrumb;Wikidata ID;GND ID;AAT ID;filmportal.de Category ID 
1;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/project-categories#project-category-1;Academic Publication;Scientific Publication,Research Publication;Akademische Publikation;Wissenschaftliche Publikation;;Akademische Publikation;Academic Publication;Q591041;4066586-0;;
2;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/project-categories#project-category-2;Doctoral Thesis;Dissertation,PhD Thesis,Thesis;Dissertation;Thesis;1;Akademische Publikation > Dissertation;Academic Publication > Doctoral Thesis;Q187685;4012494-0;300312076;
3;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/project-categories#project-category-3;Podcast;;Podcast;;1;Akademische Publikation > Podcast;Academic Publication > Podcast;Q20899;7527248-9;300310137;
4;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/project-categories#project-category-4;Website;;Webseite;;1;Akademische Publikation > Webseite;Academic Publication > Website;Q35127;4596172-4;300265431;
5;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/project-categories#project-category-5;Applied Arts;;Angewandte Kunst;Gestaltung,Kunstgewerbe;;Angewandte Kunst;Applied Arts;Q207241;7593577-6;300054168;
6;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/project-categories#project-category-6;Architecture;;Architektur;;5;Angewandte Kunst > Architektur;Applied Arts > Architecture;Q12271;4002851-3;300054156;
7;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/project-categories#project-category-7;Design;;Design;;5;Angewandte Kunst > Design;Applied Arts > Design;Q82604;4011510-0;300054171;
8;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/project-categories#project-category-8;Game Design;Gamedesign;Game Design;;7;Angewandte Kunst > Design > Game Design;Applied Arts > Design > Game Design;Q858057;;;
9;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/project-categories#project-category-9;Industrial Design;Product Design;Industrial Design;Produktdesign;7;Angewandte Kunst > Design > Industrial Design;Applied Arts > Design > Industrial Design;Q243606;4072788-9;300054183;
10;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/project-categories#project-category-10;Interior Design;;Innenarchitektur;Mediale Raumgestaltung,Raumgestaltung;7;Angewandte Kunst > Design > Innenarchitektur;Applied Arts > Design > Interior Design;Q179232;4072819-5;300054184;
11;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/project-categories#project-category-11;Graphic Design;Communication Design;Kommunikationsdesign;Grafikdesign;7;Angewandte Kunst > Design > Kommunikationsdesign;Applied Arts > Design > Graphic Design;Q185925;4304892-4;300054181;
12;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/project-categories#project-category-12;Media Design;;Mediengestaltung;Mediendesign;7;Angewandte Kunst > Design > Mediengestaltung;Applied Arts > Design > Media Design;Q1916365;4823394-8;;
13;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/project-categories#project-category-13;Fashion Design;;Modedesign;;7;Angewandte Kunst > Design > Modedesign;Applied Arts > Design > Fashion Design;Q29583;7510814-8;300138708;
