ID;URI;German Name;German Synonyms;English Name;English Synonyms;Wikidata ID;GND ID (male);GND ID (female);GND ID (group);AAT ID;Parent Role;German Breadcrumb;English Breadcrumb;"Pre-selects ""ist Urheber:in"" automatically";"Pre-selects ""besitzt Leistungsschutzrechte"" automatically"
1;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/roles#role-1;1. Kameraassistenz;1. Kameraassistentin,1. Kameraassistent;1st assistant camera;camera operator,focus puller;Q1639269;1037660862;1037660951;;;;1. Kameraassistenz;1st assistant camera;0;0
2;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/roles#role-2;2. Kameraassistenz;2. Kamerassistentin,2.  Kamerassistent;2nd assistant camera;clapper loader,film loader;Q834381;1037660862;1037660951;;;;2. Kameraassistenz;2nd assistant camera;0;0
3;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/roles#role-3;Absolvent:in;Absolventin,Absolvent;graduate;;Q508719;4191664-5;4273631-6;;300197559;;Absolvent:in;graduate;0;0
4;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/roles#role-4;Agent:in;Künstleragentin,Künstleragent,Musikagentin,Musikagent,Agentin,Agent;agent;booking agent,talent agent;Q1344174;;;;300443852;;Agent:in;agent;0;0
5;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/roles#role-5;Amateur:in;Amateurin,Amateur;amateur;;Q455595;4142161-9;;;;;Amateur:in;amateur;0;0
6;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/roles#role-6;Animation;Animator,Animateurin;animation;;Q266569;1037485300;1037485815;;300025646;;Animation:in;animation;0;0
7;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/roles#role-7;Anthropolog:in;Menschenkundlerin,Menschenkundler,Anthropologin,Anthropologe;anthropologist;;Q4773904;4142642-3;4254397-6;;;;Anthropolog:in;anthropologist;0;0
8;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/roles#role-8;Archäolog:in;Archäologin,Archäologe;archaeologist;;Q3621491;4191824-1;4361365-2;;300025486;;Archäolog:in;archaeologist;0;0
9;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/roles#role-9;Archivar:in;Archivarin,Archivar;archivist;;Q635734;4002865-3;4874302-1;;300162133;;Archivar:in;archivist;0;0
10;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/roles#role-10;Arrangeur:in;Arrangeurin,Arrangeur;music arranger;;Q1643514;4604119-9;7712885-0;;;;Arrangeur:in;music arranger;0;0
